,Number Following,Number of Followers,Number of Statuses,Screen Name
0,93,53,1271,dawn_DCSF
1,55,22,115,RachelKneale
2,222,114,916,Goatato
3,255,445,10566,llamaniac2018
4,162,68,2115,NancyRJones4
5,296,398,1057,KailahCaliskan
6,251,86,4628,HathawayHeidi
7,936,159,1933,Nejatahmad
8,648,278,189,thegalwaybroker
9,239,91,1143,harris_alycia
10,60,253,456,schmeckKSA
11,14,120,3263,NaijaloadedGN
12,358,361,1158,whosehanzisthis
13,0,234,728,baisnuchem
14,1497,382,5091,estarlich
15,669,460,3982,claysmitty97
16,73,20,233,globalcapmarket
17,653,472,3372,MaryESeevers
18,1787,220,111,OrderGators
19,657,122,6628,GeEncLl
20,153,136,16398,kidkandi3
21,106,186,248,T4CScotland
22,1773,439,4164,aijazaz40
23,296,45,2617,killuayoongi
24,76,102,534,marcosorwhateva
25,661,501,2336,FriscoKid70
26,195,58,293,kxtelyynn
27,118,28,1042,Royshawn3
28,58,25,164,alohaxshy
29,558,95,458,tope_1978
30,86,60,4180,ericksde123
31,324,529,9442,kelseypiercey
32,161,39,202,Rayneman001
33,645,550,7085,gabbilicioussss
34,61,42,198,johnkn
35,695,379,1871,fraser1927
36,874,900,13066,VeautifulTae_
37,227,531,642,AyanaHyman
38,179,341,18504,N_ilkersvm
39,200,20,1254,nataliebilly
40,794,47,4719,DannoManuel
41,1037,369,19577,gaysinthevoid
42,1471,1302,19927,Shannon_McCannn
43,1105,193,1612,LacrosseNevada
44,252,370,4182,89x45_boy
45,299,300,17791,ToddWise62
46,237,45,982,kamahon
47,625,404,182,Tractorbob1
48,190,196,16955,Kayleeemin
49,837,229,1722,IvyBryon
50,125,151,12658,clblps
51,2065,258,4379,anilkmr_m
52,389,142,7224,WmEUmfleet
53,148,243,9036,pvaldez726
54,349,26,2001,Michele94860612
55,1559,970,9137,FionaMMiddler
56,190,160,3453,nelsonsamd
57,40,37,3975,Vote5Hsr2
58,415,166,432,Km9912
59,231,153,18819,OnlyoneJp23
60,268,492,5176,kendraylewoods
61,299,71,1517,Dodolover911
62,915,366,465,HardenRoger
63,888,1045,8587,siya_mngoma
64,323,445,7365,Andrew_Doan
65,512,280,1694,Asheley_Houser
66,138,130,14576,ChristSees
67,117,105,6437,Kilplixs
68,154,147,1051,KatherineCat8
69,424,479,2599,longgraeme
70,3456,384,11983,jtg
71,275,60,2856,chipsandberg
72,362,238,2955,KamrynWadkins
73,136,553,175,frozentheplay
74,333,268,3845,thefatrat_
75,377,402,9081,alieyou
76,208,59,2740,DOOMEDTRUMP
77,260,76,2025,Irenarni
78,244,235,2915,Melodyjevans
79,84,20,556,skochSnS
80,268,80,484,kittycats83
81,439,568,4579,xoxchrissy91xox
82,549,234,4937,Lucygalpin360
83,201,248,6950,lucianoratamero
84,976,468,13670,Conservatronic
85,257,383,7879,aaron_johnson15
86,560,405,10296,mswaller48
87,40,39,2304,sierra_rayne__
88,36,21,647,Dex62ter98
89,171,77,1378,Madison_Broad2
90,763,224,4401,Liberty_Chip
91,1594,1014,11774,RetFFMike
92,137,85,2765,Real_Phake_Name
93,78,62,650,thinklofts
94,105,39,1019,veemom40
95,962,890,13159,DollarCollar
96,253,557,14156,pholimpofu
97,382,107,7410,stmgtthepious1
98,496,463,17377,idiotwolf
99,848,608,3510,princeoftan_air
